-;Manejo el Cambio en Implementación de ERP en Ambiente UniverSitario;Paola Diaz Cortes, Viviana Otero Fadul, Maria Jose Plata;-;Guillermo Cepeda;Pregrado;2006;-;-;Si;SiDRe
-;Modelo Conceptual para Implementar una solucion de distribucion de contenido Multimedial sobre la Plataforma JAVA EE;Oscar Humberto Escobar Valero, Adriana Maria Suarez Jimenez;-;Oscar Javier Chavarro García;Pregrado;2006;-;-;No;Takina
-;Modelo de gestion de servicios PKI basado en una arquitectura orientadaa servicios;Diana Carolina Valbuena Pabon - Edgar Hernan Lopez Cradenas;-;Juan Carlos Huertas;Pregrado;2006;-;-;Si;SiDRe
-;Modelo de Intregracion entre Computacion en Grilla y Sistemas Multiagentes ;Javier Mauricio Morales, David Fernando De La Peña;-;Enrique González Guerrero;Pregrado;2006;-;-;Si;SiDRe
-;Modelo Integrado de Actividades para el Desarrollo de Proyectos de Inteligencia de Negocios en Empresas Colombianas;Eliana Delgado, Julian MolaNo;-;Alexandra Pomares Quimbaya;Pregrado;2006;-;-;Si;SiDRe
-;Monitoreo y Control de Componentes de Red Sobre Protocolo SNMP;Diego Andres Florez Jimenez, Leonardo Eduardo Londoño Jimenez;-;Edgar Enrique Ruiz García;Pregrado;2006;-;-;No;SiDRe
-;Plataforma Integradora para el Desarrollo de Aplicaciones con agentes fiSicos PIDAAF;Frando Alexis González Velasquez;-;Enrique González Guerrero;Pregrado;2006;-;-;No;SiDRe y Takina
-;Plataforma para determinar la posición de Actores usando tecNología BLUETOOTH;Diego Convers, Juan Camilo Gomez;-;César Julio Bustacara Medina;Pregrado;2006;-;-;No;SiDRey Takina
-;Renderizado Distribuido de un Ambiente Grafico 3D;Diana Lucia Reyes Rodriguez - Alfonso Barbosa Leiva;-;César Julio Bustacara Medina;Pregrado;2006;-;-;Si;Takina
-;Servicio de Mensajeria Instantanea con soporte de autenticacion mediante firmas digitales y cifrado de datos por medo de PKI;Hector Andres Peña Olarte, Oscar Eduardo Lopez Medina;-;Jorge Mario Calvo;Pregrado;2006;-;-;No;SiDRe
-;Servidor de correos con autenticacion mediante firmas digitales como alternativa de solucion de SPAM;Andres Guillermo Quiñones García;-;Jorge Mario Calvo;Pregrado;2006;-;-;No;SiDRe
-;Sistema de Apoyo a los procesos de evaluacion curricular de la carrera Sistemas PUJ;Diana Marcela Arias Jimenez, Sandra Milena Gomez;-;Julio Ernesto Carreño Vargas;Pregrado;2006;-;-;No;SiDRe
-;Sistema para el modelamiento de Rostros HumaNos Virtuales;Lina Marcela Rojas Villafane, Gabriel Ernesto Sarmiento Aguilar;-;Oscar Javier Chavarro García;Pregrado;2006;-;-;Si;Takina
-;Tecnicas de Ubicación Automatica de DispoSitivos Moviles para Proveer Servicios Basados en Localizacion en Colombia;Jose Eduardo Ropero Anteliz;-;Juan Pablo Garzón Ruiz;Pregrado;2006;-;-;No;SiDRe
-;Toolmol Toolkit de Visualizacion Molecular en un Ambiente de 3D;Eduardo Jose Mendoza Armenta - Fabio Ivan Aroca Lara;-;Oscar Javier Chavarro García;Pregrado;2006;-;-;No;Takina
-;Una guia Metodologica para el Calculo del retorNo a la InverSion (rol) en seguridad Informatica ;Nicolas Sanchez Acevedo, Juan Sebastian Segura Castañeda;-;Jeimy José CaNo;Pregrado;2006;-;-;Si;SiDRe
-;(Houtsuwa): módulo de Simulación basada en fíSica para la arquitectura de computación gráfica VITRAL SDK. Módulo de Simulación basada en fíSica mecánica;CastellaNos Galvan Andrea Del Pilar y MuNoz TriviNo César Andrés;-;Andrés Acero MoreNo;Pregrado;2007;-;-;No;SiDRe
-;Adopción y puesta en marcha de tecNología CRM en una Mipyme colombiana;Corredor Pinzón Alejandro, Peralta Mojica Daniel Andres;-;Agredo John Gunther;Pregrado;2007;-;-;Si;SiDRe
-;Alcance Probatorio Evidencia Digital en casos de Delitos Informáticos;Rojas Plaza Juan Camilo, Salazar Viviana;-;Adith Bismarck Pérez Orozco;Pregrado;2007;-;-;No;SiDRe
-;AnaliSis de la Movilidad estudiantil en la UniverSidad Javeriana caso de estudio: Carrera de Ingenieria de Sistemas;Liliana Baquero Fuentes;-;Hilda Cristina Chaparro López;Pregrado;2007;-;-;Si;Istar
-;AnáliSis de la tecNología XBRL como herramienta estándar para el sector financiero colombiaNo;Erazo Bastidas Danilo Jose, Prada Sanchez Julian Andres;-;Maria Mercedes Corral Strassman;Pregrado;2007;-;-;No;-
-;AnaliSis del Impacto de los Sistemas de Informacion Geografiva enfocados a Geomercadeo en las Organizaciones;David Camargo Duran;-;Javier Francisco López Parra;Pregrado;2007;-;-;No;Istar
-;AnaliSis Forense en DispoSitivos Moviles;Juan Gabriel Acosta Bilbao;-;Adith Bismarck Pérez Orozco;Pregrado;2007;-;-;No;SiDRe
-;AnáliSis y Diseño de un Sistema de gestión del coNocimiento y minería de datos aplicado en un proceso de ventas de una organización importadora comercializadora;Barrera Cardenas Zuly Natalia, Perez Annear Edgar Alejandro;-;Jaime García Cepeda;Pregrado;2007;-;-;Si;SiDRe
-;AnaliSis y Diseño funcional de un Sistema de Gestion para el Dominio de la Planeacion y Organización en el GobierNo de TecNologias;Jorge Emilio Calapiña Rozo - Juan Felipe CastellaNos  Arias;-;Jaime García Cepeda;Pregrado;2007;-;-;No;SiDRe
-;"AnáliSis y validación de la herramienta del ""Treatment learning"" TAR2";Lopez MoreNo Felipe Ivan, Daisuke Okuda;-;Luis Ojeda ;Pregrado;2007;-;-;No;SiDRe
-;ArCoo - Arquitectura para Robots cooperativos;Bernal Aristizabal Carlos Andres, Felipe Camargo;-;Enrique González Guerrero;Pregrado;2007;-;-;Si;SiDRe y Takina
-;Arquitectura de un Sistema de gestión del coNocimiento en el área de gerencia de proyectos para Skit Consulting Ltda;Cubillos Alfonso Angela Rossana;-;Rey Carlos Ricardo;Pregrado;2007;-;-;No;Istar
-;Arquitectura para un Sistema Automatizado de DeciSiones de InverSion en el Mercado de Acciones;Daniel Londoño;-;Julio Ernesto Carreño Vargas;Pregrado;2007;-;-;Si;Istar
-;Arquitectura tecNologica integrada para la gestión del coNocimiento empresarial;Medina Luna Victor Hugo;-;Alexandra Pomares Quimbaya;Pregrado;2007;-;-;No;Istar
-;ASMA: Arquitectura para Sistemas Multiagentes para Ambientes con dispoSitivos móviles;Montana Camelo Julian David;-;Juan Pablo Garzón Ruiz;Pregrado;2007;-;-;No;SiDRe
-;Automatizacion del Diseño de Bases de Datos Relacionales con Componentes Didacticos;Juan Felipe Camargo Gomez - Mauricio Antonio Gaviria Holguin;-;Julio Ernesto Carreño Vargas;Pregrado;2007;-;-;No;Istar
-;BESA .NET: Plataforma para desarrollo de Aplicaciones Multiagente;Pablo Cesar Silva Nuñez;-;Enrique González Guerrero;Pregrado;2007;-;-;Si;SiDRe
-;Construcción de un módulo de lectura y representación de escenarios 3D creados en BSP para Vitral SDK;Martinez Chaparro Felix Rodrigo;-;Luis José Pulido;Pregrado;2007;-;-;Si;Takina
-;Consultorio Informático;Martinez Enriquez Javier Andres;-;Hilda Cristina Chaparro López;Pregrado;2007;-;-;No;Istar
-;Curricula-CAD: Un ambiente Gráfico para guiar al estudiante en la selección de materias en un currículo flexible;Jimenez Janer David Ricardo;-;Rafael José Barros Barrios;Pregrado;2007;-;-;No;Istar
-;diseño de Interiores con Realidad Aumentada;Javier Enrique Galvis Carrillo, Camilo Alejandro Parra Benavides;-;David Alejandro Uribe Pardo;Pregrado;2007;-;-;No;SiDRe
-;Diseño de un Sistema de Gestión de CoNocimiento para Alcalicoop empleando ingeniería de Requerimientos;Cifuentes Villamil Monica Johanna, Martinez Eraso Diana Andrea;-;Rey Carlos Ricardo;Pregrado;2007;-;-;No;Istar
-;Diseño de un Tablero de Controlpara la Toma de deciSiones en la Gerencia de TecNologia Aplicado en una PYME de Base TecNologica;Sandra Paola Castro Sanchez, Natalia Cifiuentes Torres;-;Jaime García Cepeda;Pregrado;2007;-;-;No;SiDRe
-;Diseño e implantación de una metodología de Pruebas para Sistemas Multiagentes. Caso específico: AOPOA;Garavito Garavito Oscar Leonardo, Ocampo Izquierdo Juan David;-;Miguel Eduardo Torres MoreNo;Pregrado;2007;-;-;Si;SiDRe e Istar
-;Dw-Soft: Un Sistema Analítico par ala industria del software en Colombia;Cardona Castro Andrés Felipe, Mejía Duarte Carlos Andrés;-;Rafael José Barros Barrios;Pregrado;2007;-;-;No;Istar
-;e-Risk: una herramienta para analizar riesgos en los activos de información electrónica de una organización;Posada Juan Mario;-;Rafael José Barros Barrios;Pregrado;2007;-;-;No;Istar
-;Extracción semiautomática de coNocimiento basado en ontologías a partir de un tipo de elemento de coNocimiento;Sanchez Calderon Ivan Dario, Silva Cardona Diana Celeny;-;Alexandra Pomares Quimbaya;Pregrado;2007;-;-;Si;Istar
-;Guía metodológica para la administración y gestión de riesgos y recursos humaNos aplicado a Proyectos de TI: Caso de Estudio;González Diaz Joshsua James;-;Jaime García Cepeda;Pregrado;2007;-;-;No;SiDRe
-;Guia Metodologica para la gestion Centralizada de Registros de Eventos de Seguridad en Pynes;Diana Carolina Niño Mejia - Alejandro Sierra Munera;-;Edgar Enrique Ruiz García;Pregrado;2007;-;-;No;SiDRe
-;Guia metodologica para la Migracion del protocolo IPV4 a IPV6 en un Ambiente Empresarial;Ivan Mauricio Sanchez- Andres Mauricio Fajardo - Luis Felipe Camargo;-;Maria Isabel SerraNo;Pregrado;2007;-;-;No;SiDRe
-;Guia Metodologica para la recoleccion de Evidencia Digital en Colombia;Juan Camilo Campos Suarez;-;Maria Isabel SerraNo;Pregrado;2007;-;-;No;SiDRe
-;Guia metodologica para planes de contingencia en la administracion de riesgos orientada a requerimientos en Pymes Desarrolladoras en Colombia;Osorio Usaquen Diego Andres, Mantilla Pradilla Juan Guillermo;-;Juan Guillermo Rojas;Pregrado;2007;-;-;No;Istar
-;Infraestructura para la gestion de la Evidencia digital en redes Inalambricas;Juan David Gutierrez, Giovanni Zuccardi Hernandez;-;Nelson Gomez de la Peña;Pregrado;2007;-;-;Si;SiDRe
-;La gran Expedicion Humana una Oportunidad para diseñar una Bodega de Datos 3093 ;Maria Adriana Briceño Ramos;-;Fabio Antonio Avellaneda Pachón;Pregrado;2007;-;-;No;Takina
-;MetamorfoSis sobre Objetos Graficos en Tercera DimenSion;Josue Alejandro Barrero - Luis Adolfo Barrios;-;David Alejandro Uribe Pardo;Pregrado;2007;-;-;No;SiDRe
-;miPyme Colombia: TecNologías Open Source para la Gestión de los Procesos de Producción de las Empresas Colombianas;Barrera Alvarez Miguel Alfonso, Ochoa Gaviria Guillermo Alexander;-;Agredo John Gunther;Pregrado;2007;-;-;No;SiDRe
-;Módulo administrador de escenas tridimenSionales mediante Grafos de Escena;Pena Ocando Ariel Eduardo, Sierra Salazar Juan David;-;Luis José Pulido;Pregrado;2007;-;-;No;Takina
-;Orquestando Procesos de Negocio con SOA;Ana Maria LozaNo, Diana Milena Perez;-;Juan Guillermo Rojas;Pregrado;2007;-;-;No;SiDRe
-;Presas y Cazadores: Un enfoque desde las redes Neuronales ;Jose Luis Uribe Aponte;-;Adith Bismarck Pérez Orozco;Pregrado;2007;-;-;No;Takina
-;Propuesta de Manejo de Informacion Cartografica para la Unidad de parques Nacionales Naturales de Colombia: caso de estudio parque Nacional;Juan Pablo Gomez Sepulveda - Nadia Zayde Alvarez Rincon;-;Javier Francisco López Parra;Pregrado;2007;-;-;Si;Istar
